FID,NAME,ADDRESS,CITY,STATE,ZIP
607,ATHLETICS CENTER O'RENA,PIONEER DRIVE,ROCHESTER,MI,48309
608,PETCO PARK,19 TONY GWYNN DRIVE,SAN DIEGO,CA,92101
609,WESTERN HALL,NORTH WESTERN AVENUE AND WEST UNIVERSITY DRIVE,MACOMB,IL,61455
610,PNC PARK,115 FEDERAL STREET,PITTSBURGH,PA,15212
611,SAFECO FIELD,1250 1ST AVENUE SOUTH,SEATTLE,WA,98134
612,MCLEOD CENTER,HUDSON ROAD AND WEST 27TH STREET,CEDAR FALLS,IA,50631
613,CITI FIELD,123-01 ROOSEVELT AVENUE,FLUSHING,NY,11368
614,CENTURYLINK CENTER,455 NORTH 10TH STREET,OMAHA,NE,68102
615,GLOBE LIFE PARK IN ARLINGTON,1000 BALLPARK WAY,ARLINGTON,TX,76011
616,REDBIRD ARENA,COLLEGE AVENUE AND NORTH MAIN STREET,NORMAL,IL,61761
617,TROPICANA FIELD,1 TROPICANA DRIVE,SAINT PETERSBURG,FL,33705
618,SIU ARENA,SALUKI BOULEVARD AND ARENA DRIVE,CARBONDALE,IL,62901
619,TURNER FIELD,755 HANK AARON DRIVE,ATLANTA,GA,30315
620,MOBY ARENA,SOUTH SHIELD STREET AND NORTH DRIVE,FORT COLLINS,CO,80521
621,THOMAS AND MACK CENTER,THOMAS AND MACKIE DRIVE AND SWENSON STREET,LAS VEGAS,NV,89119
622,U.S. CELLULAR FIELD,333 WEST 35TH STREET,CHICAGO,IL,60616
623,WISEPIES ARENA,UNIVERSITY BOULEVARD SE AND AVENIDA DE CESAR CHAVEZ,ALBUQUERQUE,NM,87106
624,WRIGLEY FIELD,1060 WEST ADDISON STREET,CHICAGO,IL,60613
625,POPE PHYSICAL EDUCATION CENTER,CLINTON STREET AND JORALEMON STREET,BROOKLYN HEIGHTS,NY,11201
626,YANKEE STADIUM,EAST 161ST & RIVER AVENUE,BRONX,NY,10451
627,SPIRO SPORTS CENTER,CAMPUS ROAD AND HOWARD AVENUE,STATEN ISLAND,NY,10301
628,NATIONALS PARK,1500 SOUTH CAPITOL ST SE,WASHINGTON,DC,20003
629,T.D. BANK SPORTS CENTER,KIMBERLY AVENUE,HAMDEN,CT,6518
630,TARGET FIELD,1 TWINS WAY,MINNEAPOLIS,MN,55415
631,GEORGE AND PHYLLIS ROTHMAN CENTER,UNIVERSITY PLAZA DRIVE AND TEMPLE AVENUE,TEANECK,NJ,7666
632,WILLIAM H. PITT HEALTH AND RECREATION CENTER,PARK AVENUE AND JEFFERSON STREET,FAIRFIELD,CT,6825
634,MCCARTHEY ATHLETIC CENTER,801 NORTH CINCINNATI STREET,SPOKANE,WA,99202
635,MARLINS PARK,501 MARLINS WAY,MIAMI,FL,33125
636,MCKEON PAVILION,DE LA SALLE DRIVE AND GAEL WAY,MORAGA,CA,94556
637,WAIALAE COUNTRY CLUB,4997 KAHALA AVENUE,HONOLULU,HI,96816
638,WAR MEMORIAL GYMNASIUM,2335 GOLDEN GATE AVENUE,SAN FRANCISCO,CA,94117
639,KAPALUA PLANTATION GOLF CLUB,2000 PLANTATION CLUB DRIVE,LAHAINA,HI,96761
640,PEBBLE BEACH GOLF LINKS,17-MILE DRIVE,PEBBLE BEACH,CA,93953
641,UNITED SUPERMARKETS ARENA,INDIANA AVENUE AND 18TH STREET,LUBBOCK,TX,79409
642,CORDEVALLE GOLF CLUB,1 CORDEVALLE CLUB DR.,SAN MARTIN,CA,95046
643,LOUIS BROWN ATHLETIC CENTER,83 ROCKEFELLER ROAD,PISCATAWAY,NJ,8854
644,RIVIERA COUNTRY CLUB,1250 CAPRI DRIVE,PACIFIC PALISADES,CA,90272
645,TORREY PINES GOLF COURSE,11480 TORREY PINES PARK ROAD,SAN DIEGO,CA,92037
646,PALMER PRIVATE COURSE-PGA WEST,55-955 PGA BOULEVARD,LA QUINTA,CA,92253
647,MONTREUX GOLF CLUB,18077 BORDEAUX DRIVE,RENO,NV,89511
648,TOURNAMENT PLAYERS CLUB-SUMMERLIN,1700 VILLAGE CENTER CIRCLE,LAS VEGAS,NV,89134
