FID,INSTNAME,CITY,STATE,ZIP
7109,Cambridge Junior College-Woodland,Woodland,CA,95695
7110,Anthem College-Atlanta,Atlanta,GA,30324
7111,ICPR Junior College-Manati,Arecibo,PR,674
7112,Western Beauty Institute,Lancaster,CA,93536
7113,Ridley-Lowell Business & Technical Institute-Danbury,Danbury,CT,6810
7114,Artistic Nails and Beauty Academy-Lakeland,Lakeland,FL,33801
7115,Paul Mitchell the School-Murfreesboro,Murfreesboro,TN,37129
7116,Allied American University,Laguna Hills,CA,92653
7117,American Sentinel University,Aurora,CO,80014
7118,Tribeca Flashpoint Media Arts Academy,Chicago,IL,60602
7119,Hawaii Medical College,Honolulu,HI,96814
7120,Carolina College of Hair Design,Asheville,NC,28805
7121,Virginia College-Baton Rouge,Baton Rouge,LA,70815
7122,Remington College-Heathrow Campus,Heathrow,FL,33612
7123,College of Massage Therapy,Blackfoot,ID,83221
7124,Miller-Motte College-Jacksonville,Jacksonville,NC,28540
7125,Miller-Motte Technical College-Augusta,Augusta,GA,30907
7126,Miller-Motte Technical College-Conway,Conway,SC,29526
7127,Virginia College-Macon,Macon,GA,31206
7128,Virginia College-Spartanburg,Spartanburg,SC,29301
7129,Aveda Institute-Portland,Portland,OR,97209
7130,Chamberlain College of Nursing-Virginia,Arlington,VA,22202
7131,Stevens-Henager College-Boise,Boise,ID,83709
7132,The Salon Professional Academy-Cincinnati,Cincinnati,OH,45211
7133,Penrose Academy,Scottsdale,AZ,85254
7134,Virginia College-Richmond,Richmond,VA,23225
7135,Skin Institute,Saint Louis,MO,63126
7136,Northwest Institute of Literary Arts,Langley,WA,98260
7137,Body Therapy Institute,Siler City,NC,27344
7138,Beauty Academy of South Florida,Hialeah Gardens,FL,33016
7139,Ogle School Hair Skin Nails-North Dallas,Dallas,TX,75248
7140,The Salon Professional Academy-North Little Rock,North Little Rock,AR,72116
7141,The Salon Professional Academy-St Charles,St. Charles,MO,63301
7142,American Institute,Celebration,FL,34747
7143,Mildred Elley-New York Campus,New York,NY,10004
7144,National Paralegal College,Phoenix,AZ,85014
7145,Carolina College of Biblical Studies,Fayetteville,NC,28303
7146,Star Career Academy-Audubon,Audubon,PA,19403
7147,St Luke University,Pomona,CA,91767
7148,Northeast Technology Center-System Office,Pryor,OK,74362
7149,Allstate Hairstyling & Barber College,Cleveland,OH,44113
7150,Oxford Graduate School,Dayton,TN,37321
7151,Jung Tao School of Classical Chinese Medicine,Sugar Grove,NC,28679
7152,New York Film Academy,Universal City,CA,91608
7153,The Collective School Of Music,New York,NY,10011
7154,International College of Cosmetology,Oakland,CA,94601
7155,GP Institute of Cosmetology,St Louis,MO,63033
7156,Bella Capelli Academy,Monroeville,PA,15146
7157,Institute of Medical Careers,Pittsburgh,PA,15235
7158,Toni & Guy Hairdressing Academy-Modesto,Modesto,CA,95356
7159,Georgia Christian University,Atlanta,GA,30360
7160,Flagler Technical Institute,Palm Coast,FL,32137
7161,Galaxy Medical College,North Hollywood,CA,91606
7162,American Medical Sciences Center,Glendale,CA,91204
7163,Mandalyn Academy,American Fork,UT,84003
7164,Jose Maria Vargas University,Pembroke Pines,FL,33026
7165,Laird Institute of Spa Therapy,Manchester,NH,3102
7166,D A Dorsey Educational Center,Miami,FL,33147
7167,Keweenaw Bay Ojibwa Community College,Baraga,MI,49908
7168,Meridian Institute of Surgical Assisting,Nashville,TN,37218
7169,Mauna Loa Helicopters,Kailua Kona,HI,96740
7170,Acaydia School of Aesthetics,Provo,UT,84601
7171,Manhattan Institute,New York,NY,10016
7172,Cosmetic Arts Institute,Walterboro,SC,29488
7173,Holistic Massage Training Institute,Baltimore,MD,21218
7174,Diamonds Cosmetology College,Sherman,TX,75090
7175,Tramy Beauty School,San Diego,CA,92115
7176,Scholars Cosmetology University,Ann Arbor,MI,48108
7177,Northern Virginia School of Therapeutic Massage,Falls Church,VA,22046
7178,Paul Mitchell the School-St Louis,St. Louis,MO,63108
7179,Advanced Training Institute,Las Vegas,NV,89118
7180,Cosmopolitan Beauty and Tech School,Annandale,VA,22003
7181,The Salon Professional Academy-Elgin,Elgin,IL,60123
7182,CCIC Beauty College,Peoria,AZ,85345
7183,Salon 496 Barber Academy,Greenville,SC,29607
7184,Shepherds Theological Seminary,Cary,NC,27518
7185,Taylor Andrews Academy of Hair Design-West Jordan,West Jordan,UT,84088
7186,Santa Ana Beauty Academy,Santa Ana,CA,92705
7187,Grace College of Divinity,Fayetteville,NC,28314
7188,Cosmetology College of Franklin County,Saint Clair,MO,63077
7189,Rochester School of Hair Design,Rochester,MN,55901
7190,Aveda Institute-New Mexico,Albuquerque,NM,87104
7191,Nashville Barber and Style Academy,Madison,TN,37115
7192,American Trade School,Saint Ann,MO,63074
7193,Estelle Skin Care and Spa Institute,Skokie,IL,60077
7194,Paul Mitchell the School-Honolulu,Honolulu,HI,96816
7195,Elite Cosmetology School,Yucca Valley,CA,92284
7196,Academy of Aesthetic Arts,Shawnee,KS,66203
7197,American Technical Institute,Bayamon,PR,957
7198,Twin Rivers Adult School,North Highlands,CA,95660
7199,Bergin University of Canine Studies,Santa Rosa,CA,94928
7200,Aveda Institute-Boise,Boise,ID,83704
7201,Progressive Training Centers,Pompano Beach,FL,33060
7202,American Health Institute,Port Richey,FL,34654
7203,Pima Medical Institute-South Denver,Aurora,CO,80012
7204,Real Barbers College,Anaheim,CA,92805
7205,Capilo School of Hair Design,Augusta,ME,4330
7206,Pure Aesthetics,Tucson,AZ,85711
7207,Lindsey Institute of Cosmetology,Bowling Green,KY,42103
7208,The Salon Professional Academy-Iowa City,Iowa City,IA,52240
7209,Buckner Barber School,Dallas,TX,75217
7210,Simmons College of Kentucky,Louisville,KY,40203
7211,Atelier Esthetique Institute of Esthetics,New York,NY,10016
7212,Ashdown College of Health Sciences,Redlands,CA,92373
7213,Advanced College of Cosmetology,Waupun,WI,53963
7214,North American University,Houston,TX,77038
7215,Entourage Institute of Beauty and Esthetics,Lenexa,KS,66215
7216,United Beauty College,Denver,CO,80223
7217,Cinta Aveda Institute,San Francisco,CA,94108
7218,Long Island Nail & Skin Care Institute,Levittown,NY,11756
7219,Mesivta Keser Torah,Belmar,NJ,7719
7220,Southern California Health Institute,North Hollywood,CA,91601
7221,Best Care Training Institute,East Orange,NJ,7018
7222,First Class Cosmetology School,Beloit,WI,53511
7223,Millennia Atlantic University,Doral,FL,33178
7224,Abcott Institute,Southfield,MI,48075
7225,The Salon Professional Academy-Kenosha,Kenosha,WI,53142
7226,Paul Mitchell the School-Indianapolis,Indianapolis,IN,46227
7227,Taylor Andrews Academy-St George,St. George,UT,84790
7228,Seymour Beauty Academy,Seymour,MO,65746
7229,Protege Academy,East Lansing,MI,48823
7230,Colorado Academy of Veterinary Technology,Colorado Springs,CO,80906
7231,Northeast Technical Institute,Scarborough,ME,4074
7232,Salinas Beauty College Inc,Salinas,CA,93901
7233,Academy for Salon Professionals,Santa Clara,CA,95050
7234,Elite School of Cosmetology,Norwalk,OH,44857
7235,Paul Mitchell the School-Las Vegas,Las Vegas,NV,89123
7236,The Salon Professional Academy-Kokomo,Kokomo,IN,46901
7237,Hair Academy,Montgomery,AL,36111
7238,Florida Academy,Fort Myers,FL,33966
7239,Institute for Doctoral Studies in the Visual Arts,Portland,ME,4102
7240,State Career College,Waukegan,IL,60085
7241,Academy for Salon Professionals,Canoga Park,CA,91304
7242,Paul Mitchell The School-Spokane,Spokane Valley,WA,99037
7243,DeVry University's Keller Graduate School of Management-Maryland,Bethesda,MD,20814
7244,DeVry University's Keller Graduate School of Management-North Carolina,Charlotte,NC,28273
7245,DeVry University's Keller Graduate School of Management-Florida,Miramar,FL,33027
7246,DeVry College of New York's Keller Graduate School of Management,New York,NY,10016
7247,DeVry University's Keller Graduate School of Management-Indiana,Indianapolis,IN,46240
7248,DeVry University's Keller Graduate School of Management-Nevada,Henderson,NV,89074
7249,DeVry University's Keller Graduate School of Management-Colorado,Westminster,CO,80234
7250,DeVry University's Keller Graduate School of Management-Minnesota,Edina,MN,55435
7251,DeVry University's Keller Graduate School of Management-Oklahoma,Oklahoma City,OK,73116
7252,DeVry University's Keller Graduate School of Management-Utah,Sandy,UT,84070
7253,DeVry University's Keller Graduate School of Management-Tennessee,Memphis,TN,38119
7254,DeVry University's Keller Graduate School of Management-Michigan,Southfield,MI,48076
7255,DeVry University's Keller Graduate School of Management-Kentucky,Louisville,KY,40223
7256,DeVry University's Keller Graduate School of Management-New Jersey,North Brunswick,NJ,8902
7257,DeVry University's Keller Graduate School of Management-Oregon,Portland,OR,97225
7258,Lincoln College of New England-Hartford,Hartford,CT,6105
7259,Lincoln College of Technology-Columbus,Columbus,OH,43215
7260,Lincoln College of Technology-Cleveland,Cleveland,OH,44114
7261,Northwestern Institute of Health and Technology,Chicago,IL,60640
