FID,NAME,ADDRESS,CITY,STATE,ZIP
66,SILVERADO RESORT AND SPA,1600 ATLAS PEAK ROAD,NAPA,CA,94558
67,POCONO RACEWAY,500 LONG POND ROAD,LONG POND,PA,18334
68,COUNTRY CLUB OF JACKSON,345 SAINT ANDREWS DRIVE,JACKSON,MS,39211
69,MICHIGAN INTERNATIONAL SPEEDWAY,12626 U.S. HIGHWAY 12,BROOKLYN,MI,49230
70,TOURNAMENT PLAYERS CLUB HARDING PARK,99 HARDING ROAD,SAN FRANCISCO,CA,94132
71,SONOMA RACEWAY,29355 ARNOLD DRIVE,SONOMA,CA,94954
72,CHAMBERS BAY,6320 GRANDVIEW DRIVE WEST,UNIVERSITY PLACE,WA,98467
73,CHICAGOLAND SPEEDWAY,500 SPEEDWAY BOULEVARD,JOLIET,IL,60433
74,ROBERT TRENT JONES GOLF TRAIL,3000 ROBERT TRENT JONES TRAIL,OPELIKA,AL,36801
75,NEW HAMPSHIRE MOTOR SPEEDWAY,1122 ROUTE 106 NORTH,LOUDON,NH,3307
77,INDIANAPOLIS MOTOR SPEEDWAY,4790 WEST 16TH STREET,INDIANAPOLIS,IN,46222
78,ROBERT TRENT JONES GOLF COURSE,1 TURTLE POINT DRIVE,GAINESVILLE,VA,20155
79,WATKINS GLEN INTERNATIONAL,2790 COUNTY ROUTE 16,WATKINS GLEN,NY,14891
80,WHISTLING STRAITS,N8501 COUNTY ROAD LS,KOHLER,WI,53083
81,PLAINFIELD COUNTRY CLUB,1591 WOODLAND AVENUE,PLAINFIELD,NJ,8820
82,KANSAS SPEEDWAY,400 SPEEDWAY BOULEVARD,KANSAS CITY,KS,66111
83,CONWAY FARMS,425 CONWAY FARMS DRIVE,CHICAGO,IL,60045
84,HOMESTEAD-MIAMI SPEEDWAY,1 SPEEDWAY BOULEVARD,HOMESTEAD,FL,33035
85,LEVI'S STADIUM,4900 MARIE P. DEBARTOLO WAY,SANTA CLARA,CA,95054
86,KENTUCKY SPEEDWAY,1 SPEEDWAY DRIVE,SPARTA,KY,41086
87,NOLA MOTORSPORTS PARK,11075 NICOLLE BLVD,AVONDALE,LA,70094
88,IOWA SPEEDWAY,3333 RUSTY WALLACE DRIVE,NEWTON,IA,50208
89,ISLEWORTH GOLF & COUNTRY CLUB,6100 DEACON DRIVE,WINDERMERE,FL,34786
90,ROAD AMERICA,N7390 HIGHWAY 67,PLYMOUTH,WI,53073
91,TIBURON GOLF CLUB,2620 TIBURON DRIVE,NAPLES,FL,34109
92,MOHEGAN SUN ARENA,1 MOHEGAN SUN BOULEVARD,UNCASVILLE,CT,6382
93,RHODE ISLAND COUNTRY CLUB,150 NAYATT ROAD,BARRINGTON,RI,2806
95,CANTERBURY PARK,1100 CANTERBURY ROAD,SHAKOPEE,MN,55379
96,HONDA CENTER,2695 EAST KATELLA AVENUE,ANAHEIM,CA,92806
97,FINGER LAKES,5857 STATE ROUTE 96,FARMINGTON,NY,14425
98,SAP CENTER AT SAN JOSE,525 WEST SANTA CLARA STREET,SAN JOSE,CA,95113
99,KENTUCKY DOWNS,5629 NASHVILLE ROAD,FRANKLIN,KY,42134
100,JOE LOUIS ARENA,600 CIVIC CENTER DRIVE,DETROIT,MI,48226
101,SUFFOLK DOWNS,525 WILLIAM F MCCLELLAN HIGHWAY,BOSTON,MA,2128
102,FIRST NIAGARA CENTER,1 SEYMOUR H. KNOX III PLAZA,BUFFALO,NY,14203
103,INDIANA GRAND RACE COURSE,4300 NORTH MICHIGAN ROAD,SHELBYVILLE,IN,46176
104,NATIONWIDE ARENA,200 WEST NATIONWIDE BOULEVARD,COLUMBUS,OH,43215
105,HIALEAH PARK RACE TRACK,2200 EAST 4TH AVENUE,HIALEAH,FL,33010
106,BB&T CENTER,2555 NW 136TH AVE,SUNRISE,FL,33323
107,FAIRMOUNT PARK RACETRACK,9301 COLLINSVILLE ROAD,COLLINSVILLE,IL,62234
108,AMALIE ARENA,401 CHANNELSIDE DRIVE,TAMPA,FL,33602
109,BROOKS STADIUM,540 UNIVERSITY BLVD.,CONWAY,SC,29526
110,XCEL ENERGY CENTER,199 KELLOGG BOULEVARD WEST,SAINT PAUL,MN,55102
111,U.S. BANK STADIUM,900 S 5TH ST.,MINNEAPOLIS,MN,55415
112,SCOTTRADE CENTER,1401 CLARK AVENUE,SAINT LOUIS,MO,63103
113,CARNESECCA ARENA,8000 UTOPIA PKWY,JAMAICA,NY,11439
114,BRIDGESTONE ARENA,501 BROADWAY,NASHVILLE,TN,37203
115,GRAND PRIX OF BOSTON,FARGO STREET,BOSTON,MA,2210
116,GILA RIVER ARENA,9400 WEST MARYLAND AVENUE,GLENDALE,AZ,85305
117,AUSTIN COUNTRY CLUB,4408 LONG CHAMP DR,AUSTIN,TX,78746
119,OAKMONT COUNTRY CLUB,1233 HULTON RD,OAKMONT,PA,15139
120,BALTUSROL GOLF CLUB,201 SHUNPIKE RD,SPRINGFIELD,NJ,7081
121,THE BARCLAYS,99 QUAKER MEETING HOUSE RD,FARMINGDALE,NY,11735
122,CROOKED STICK GOLF COURSE,1964 BURNING TREE LN,CARMEL,IN,46032
123,HAZELTINE NATIONAL GOLF CLUB,1900 HAZELTINE BLVD,CHASKA,MN,55318
124,COCA-COLA FIELD,275 WASHINGTON ST,BUFFALO,NY,14203
125,BB&T BALLPARK,324 S MINT ST,CHARLOTTE,NC,28202
126,HUNTINGTON PARK,330 HUNTINGTON PARK LN,COLUMBUS,OH,43215
127,DURHAM BULLS ATHLETIC PARK,409 BLACKWELL ST,DURHAM,NC,27701
128,COOLRAY FIELD,2500 BUFORD DR NE,LAWRENCEVILLE,GA,30043
129,VICTORY FIELD,501 W MARYLAND ST,INDIANAPOLIS,IN,46225
130,COCA-COLA PARK,1050 IRONPIGS WAY,ALLENTOWN,PA,18109
131,LOUISVILLE SLUGGER FIELD,401 E MAIN ST,LOUISVILLE,KY,40202
132,HARBOR PARK,150 PARK AVE,NORFOLK,VA,23510
133,MCCOY STADIUM,1 COLUMBUS AVE,PAWTUCKET,RI,2860
134,FRONTIER FIELD,333 PLYMOUTH AVE N,ROCHESTER,NY,14608
135,PNC FIELD,235 MONTAGE MOUNTAIN RD,MOOSIC,PA,18507
136,NBT BANK STADIUM,1 TEX SIMONE DR,SYRACUSE,NY,13208
137,FLEISHER CENTER,80 LOCK STREET,NEWAK,NJ,7103
138,DUNKIN' DONUTS CENTER,1 LA SALLE SQUARE,PROVIDENCE,RI,2903
139,JOYCE CENTER,ANGELA BOULEVARD AND MOOSE KRAUSE CIRCLE,NOTRE DAME,IN,46637
140,FIFTH THIRD ARENA AT SHOEMAKER CENTER,2700 O'VARSITY WAY,CINCINNATI,OH,45221
141,KFC YUM! CENTER,1 ARENA PLAZA,LOUISVILLE,KY,40202
142,GAMPEL PAVILION,2095 HILLSIDE ROAD,STORRS,CT,6269
143,XL CENTER,1 CIVIC CENTER PLAZA,HARTFORD,CT,6103
144,BRICK BREEDEN FIELDHOUSE,1 BOBCAT CIRCLE,BOZEMAN,MT,59715
145,BANK OF COLORADO ARENA,14TH AVENUE AND 21ST STREET,GREELY,CO,80631
146,DAHLBERG ARENA,32 CAMPUS DRIVE,MISSOULA,MT,59801
147,BB&T FIELD,411 DEACON BOULEVARD,WINSTON-SALEM,NC,27105
148,DEE EVENTS CENTER,4400 HARRISON BOULEVARD,OGDEN,UT,84408
149,KENAN MEMORIAL STADIUM,78 STADIUM DRIVE,CHAPEL HILL,NC,27514
150,COLBERG COURT,MORAGA WAY AND STATE UNIVERSITY DRIVE,SACRAMENTO,CA,95819
151,WALLACE WADE STADIUM,FRANK BASSET DRIVE,DURHAM,NC,27706
152,WALKUP SKYDOME,EAST MCCONNELL DRIVE AND SAN FRANCISCO STREET,FLAGSTAFF,AZ,86001
153,CAMERON HALL,302 CAMERON HALL,LEXINGTON,VA,24450
154,DOWDY-FINKLEN STADIUM,WEST BERKLEY ROAD AND BLACKBEARD'S ALLEY,GREENVILLE,NC,27858
155,MEMORIAL STADIUM (NEBRASKA),600 STADIUM DRIVE,LINCOLN,NE,68508
156,CSU FIELDHOUSE,UNIVERSITY BOULEVARD,CHARLESTON,SC,29401
157,KIMBEL ARENA,132 CHANTICLEER DR E,CONWAY,SC,29528
158,HIGH POINT SOLUTIONS STADIUM,1 SCARLET KNIGHT WAY,HIGHLAND PARK,NJ,8854
159,UNIVERSITY STADIUM,1300 UNIVERSITY BOULEVARD SE,ALBUQUERQUE,NM,87131
160,CARVER-HAWKEYE ARENA,1 ELLIOTT DRIVE,IOWA CITY,IA,52242
161,CRISLER ARENA,333 EAST STADIUM BOULEVARD,ANN ARBOR,MI,48104
162,AGGIE MEMORIAL STADIUM,STEWART STREET AND PAYNE STREET,LAS CRUCES,NM,88003
163,MACKEY ARENA,"1000 JOHN R. WOODEN DR,WEST",WEST LAFAYETTE,IN,47907
164,SAM BOYD STADIUM,7000 EAST RUSSELL ROAD,LAS VEGAS,NV,89122
165,JACK BRESLIN STUDENT EVENT CENTER,ONE BIRCH ROAD,EAST LANSING,MI,48823
166,BRYCE JORDAN CENTER,127 BYCE JORDAN CENTER,STATE COLLEGE,PA,16802
167,MACKAY STADIUM,EAST STADIUM WAY,RENO,NV,89512
168,KOHL CENTER,601 WEST DAYTON STREET,MADISON,WI,53715
169,CARRIER DOME,FORESTRY DRIVE AND CROUSE DRIVE,SYRACUSE,NY,13210
170,MICHIE STADIUM,700 MILLS ROAD,WEST POINT,NY,10996
171,BREN EVENTS CENTER,100 BREN EVENT CENTER DRIVE,IRVINE,CA,92612
172,BOB CARPENTER SPORTS/CONVOCATION CENTER,210 S COLLEGE AVE,NEWARK,DE,19702
173,UB STADIUM,AUGSPURGER ROAD AND WEBSTER ENTRANCE,AMHERST,NY,14228
174,OHIO STADIUM,2054 CANNON DRIVE,COLUMBUS,OH,43210
175,CONVOCATION CENTER (VIRGINIA),UNIVERSITY BOULEVARD AND CONVOCATION SERVICE DRIVE,HARRISONBURG,VA,22801
176,NIPPERT STADIUM,BEARCAT WAY,CINCINNATI,OH,45221
177,GSU SPORTS ARENA,125 DECATUR STREET SE,ATLANTA,GA,30303
178,DAVID S. MACK SPORTS AND EXHIBITION COMPLEX,245 HOFSTRA UNIVERSITY,HEMPSTEAD,NY,11549
179,DIX STADIUM,2227 SUMMIT ROAD,KENT,OH,44240
180,DOYT PERRY STADIUM,STADIUM DRIVE,BOWLING GREEN,OH,43403
