FID,NAME,POP_2010,STATE
229,Gallitzin,1668,PA
230,Kansas City,145786,KS
231,Tunnelhill,363,PA
232,Geistown,2467,PA
233,Ellis,2062,KS
234,Plainfield,49808,NJ
235,Hastings,1278,PA
236,Hays,20510,KS
237,Rahway,27346,NJ
238,Johnstown,20978,PA
239,Abilene,6844,KS
240,Roselle,21085,NJ
241,Lilly,968,PA
242,Herington,2526,KS
243,Roselle Park,13297,NJ
244,Lorain,759,PA
245,Russell,4506,KS
246,Linden,40499,NJ
247,Loretto,1302,PA
248,Lawrence,87643,KS
249,New Providence,12171,NJ
250,Nanty Glo,2734,PA
251,De Soto,5720,KS
252,Westfield,30316,NJ
253,Patton,1769,PA
254,Edgerton,1671,KS
255,Northern Cambria,3835,PA
256,Portage,2638,PA
257,Fairway,3882,KS
258,Summerhill,490,PA
259,Sankertown,675,PA
260,Gardner,19123,KS
261,Beaverdale,1035,PA
262,Scalp Level,778,PA
263,South Fork,928,PA
264,Lake Quivira,906,KS
265,Southmont,2284,PA
266,Leawood,31867,KS
267,Vintondale,414,PA
268,Lenexa,48190,KS
269,Westmont,5181,PA
270,Roeland Park,6731,KS
271,Wilmore,225,PA
272,Shawnee,62209,KS
273,Hastings,24907,NE
274,Spring Hill,5437,KS
275,Holdrege,5495,NE
276,Westwood,1506,KS
277,Lower Burrell,11761,PA
278,Prairie Village,21447,KS
279,Derry,2688,PA
280,New Boston,2272,OH
281,Donegal,120,PA
282,Portsmouth,20226,OH
283,East Vandergrift,674,PA
284,Salina,47707,KS
285,Export,917,PA
286,Council Grove,2182,KS
287,Greensburg,14892,PA
288,Ellsworth,3120,KS
289,Hunker,291,PA
290,Fairfax,22565,VA
291,Hyde Park,500,PA
292,Saint Louis,319294,MO
293,Irwin,3973,PA
294,Emporia,24916,KS
295,Jeannette,9654,PA
296,Louisburg,4315,KS
297,Latrobe,8338,PA
298,Paola,5602,KS
299,Ligonier,1573,PA
300,Ellinwood,2131,KS
301,Madison,397,PA
302,Great Bend,15995,KS
303,Manor,3239,PA
304,Hoisington,2706,KS
305,Avalon,4705,PA
306,Monessen,7720,PA
307,Lindsborg,3458,KS
308,Baldwin,19767,PA
309,Mount Pleasant,4454,PA
310,McPherson,13155,KS
311,Murrysville,20079,PA
312,Florence,465,KS
313,Bell Acres,1388,PA
314,New Alexandria,560,PA
315,Hillsboro,2993,KS
316,Bellevue,8370,PA
317,New Florence,689,PA
318,Lyons,3739,KS
319,New Kensington,13116,PA
320,Sterling,2328,KS
321,Ben Avon,1781,PA
322,New Stanton,2173,PA
323,Burlington,2674,KS
324,North Belle Vernon,1971,PA
325,Fairview Beach,391,VA
326,Ben Avon Heights,371,PA
327,North Irwin,846,PA
328,Garnett,3415,KS
329,Bethel Park,32313,PA
330,Oklahoma,809,PA
331,Larned,4054,KS
332,Blawnox,1432,PA
333,Penn,475,PA
334,Fairmount,457,MD
335,Scottdale,4384,PA
336,Garden City,26658,KS
337,Brackenridge,3260,PA
338,Seward,495,PA
339,Staunton,23746,VA
340,Braddock,2159,PA
341,Smithton,399,PA
342,Halstead,2085,KS
343,Braddock Hills,1880,PA
344,South Greensburg,2117,PA
345,Eureka,2633,KS
346,Southwest Greensburg,2155,PA
347,Hutchinson,42080,KS
348,Sutersville,605,PA
349,Bryce Canyon City,198,UT
350,Bradford Woods,1171,PA
351,Vandergrift,5205,PA
352,Augusta,9274,KS
353,Brentwood,9643,PA
354,West Leechburg,1294,PA
355,El Dorado,13021,KS
356,West Newton,2633,PA
357,Bridgeville,5148,PA
358,Kinsley,1457,KS
359,Youngstown,326,PA
360,Carnegie,7972,PA
361,Charlottesville,43475,VA
362,Youngwood,3050,PA
363,Castle Shannon,8316,PA
364,Yates Center,1417,KS
365,Trafford,3174,PA
366,Chalfant,800,PA
367,Humboldt,1953,KS
368,Bally,1090,PA
369,Cheswick,1746,PA
370,Iola,5704,KS
371,Churchill,3011,PA
372,Clairton,6796,PA
373,Coraopolis,5677,PA
374,Bechtelsville,942,PA
375,La Harpe,578,KS
376,Bernville,955,PA
377,Crafton,5951,PA
378,Fort Scott,8087,KS
379,Birdsboro,5163,PA
380,Dormont,8593,PA
381,Dodge City,27340,KS
382,Boyertown,4055,PA
383,Bel Aire,6769,KS
384,Centerport,387,PA
385,Dravosburg,1792,PA
386,Wichita,382368,KS
387,Fleetwood,4085,PA
388,Duquesne,5565,PA
389,Pratt,6835,KS
390,Hamburg,4289,PA
391,East McKeesport,2126,PA
392,Covington,5961,VA
393,Kenhorst,2877,PA
394,East Pittsburgh,1822,PA
395,Lexington,7042,VA
396,Kutztown,5012,PA
397,Edgewood,3118,PA
398,Greensburg,777,KS
399,Laureldale,3911,PA
400,Edgeworth,1680,PA
401,Haviland,701,KS
402,Leesport,1918,PA
403,Kingman,3177,KS
404,Lenhartsville,165,PA
405,Elizabeth,1493,PA
406,Fredonia,2482,KS
407,Lyons,478,PA
408,Emsworth,2449,PA
409,Chanute,9119,KS
410,Mohnton,3043,PA
411,Mount Penn,3106,PA
412,Frontenac,3437,KS
413,Etna,3451,PA
414,Reading,88082,PA
415,Girard,2789,KS
416,Forest Hills,6518,PA
417,Robesonia,2061,PA
418,Pittsburg,20233,KS
419,Glassport,4483,PA
420,Saint Lawrence,1809,PA
421,Richmond,204214,VA
422,Shillington,5273,PA
423,Glenfield,205,PA
424,Ettrick,6682,VA
425,Shoemakersville,1378,PA
426,Green Tree,4432,PA
427,Haysville,70,PA
428,Sinking Spring,4008,PA
429,Heidelberg,1244,PA
430,Homestead,3165,PA
431,Strausstown,342,PA
432,Ingram,3330,PA
433,Topton,2069,PA
434,Leetsdale,1218,PA
435,Wernersville,2494,PA
436,Liberty,2551,PA
437,West Reading,4212,PA
438,Lincoln,1072,PA
439,McKeesport,19731,PA
440,Womelsdorf,2810,PA
441,McKees Rocks,6104,PA
442,Wyomissing,10461,PA
443,Fox Chapel,5388,PA
444,Millvale,3744,PA
445,Mount Oliver,3403,PA
446,Franklin Park,13470,PA
447,Aspinwall,2801,PA
448,Munhall,11406,PA
449,North Braddock,4857,PA
450,Oakdale,1459,PA
451,Oakmont,6303,PA
452,Glen Osborne,547,PA
453,Pennsbury Village,661,PA
454,Pitcairn,3294,PA
455,Pittsburgh,305704,PA
456,Pleasant Hills,8268,PA
457,Port Vue,3798,PA
458,Rankin,2122,PA
459,Rosslyn Farms,427,PA
460,Sewickley,3827,PA
461,Sewickley Heights,810,PA
462,Sewickley Hills,639,PA
463,Sharpsburg,3446,PA
464,Springdale,3405,PA
465,Swissvale,8983,PA
466,Tarentum,4530,PA
467,Thornburg,455,PA
468,Turtle Creek,5349,PA
469,Verona,2474,PA
470,Versailles,1515,PA
471,Wall,580,PA
472,West Elizabeth,518,PA
473,West Homestead,1929,PA
474,West Mifflin,20313,PA
475,West View,6771,PA
476,Whitaker,1271,PA
477,Whitehall,13944,PA
478,White Oak,7862,PA
479,Wilkinsburg,15930,PA
480,Wilmerding,2190,PA
481,Jefferson Hills,10619,PA
482,New Philadelphia,17288,OH
483,Lykens,1779,PA
484,Berrysburg,368,PA
485,Dauphin,791,PA
486,Elizabethville,1510,PA
487,Gratz,765,PA
488,Halifax,841,PA
489,Harrisburg,49528,PA
490,Highspire,2399,PA
491,Hummelstown,4538,PA
492,Middletown,8901,PA
493,Millersburg,2557,PA
494,Paxtang,1561,PA
495,Penbrook,3008,PA
496,Pillow,298,PA
497,Royalton,907,PA
498,Steelton,5990,PA
499,Williamstown,1387,PA
500,Blain,263,PA
501,Duncannon,1522,PA
502,Landisburg,218,PA
503,Liverpool,955,PA
504,Marysville,2534,PA
505,Millerstown,673,PA
506,New Buffalo,129,PA
507,Newport,1574,PA
508,Fairless Hills,8466,PA
509,Penndel,2328,PA
510,Perkasie,8511,PA
511,Quakertown,8979,PA
512,Richlandtown,1327,PA
513,Riegelsville,868,PA
514,Sellersville,4249,PA
515,Silverdale,871,PA
516,Trumbauersville,974,PA
517,Tullytown,1872,PA
518,Arkansas City,12415,KS
519,Yardley,2434,PA
520,Bristol,9726,PA
521,Winfield,12301,KS
522,Caldwell,1068,KS
523,Chalfont,4009,PA
524,Doylestown,8380,PA
525,Wellington,8172,KS
526,Liberal,20525,KS
527,Dublin,2158,PA
528,Hulmeville,1003,PA
529,Caney,2203,KS
530,Ivyland,1041,PA
531,Cherryvale,2367,KS
532,Langhorne,1622,PA
533,Coffeyville,10295,KS
534,Langhorne Manor,1442,PA
535,Independence,9483,KS
536,Morrisville,8728,PA
537,New Britain,3152,PA
538,New Hope,2528,PA
539,Newtown,2248,PA
540,Anthony,2269,KS
541,Telford,4872,PA
542,Carteret,22844,NJ
543,Sayreville,42704,NJ
544,South Amboy,8631,NJ
545,South Plainfield,23385,NJ
546,South River,16008,NJ
547,Spotswood,8257,NJ
548,Middlesex,13635,NJ
549,Milltown,6893,NJ
550,New Brunswick,55181,NJ
551,Harper,1473,KS
552,Chetopa,1125,KS
553,Perth Amboy,50814,NJ
554,Parsons,10500,KS
555,Steubenville,18659,OH
556,Fredericktown,2493,OH
557,Bedford,6222,VA
558,Mount Vernon,16990,OH
559,Baxter Springs,4238,KS
560,Cleona,2080,PA
561,Columbus,3312,KS
562,Cornwall,4112,PA
563,Jonestown,1905,PA
564,Galena,3085,KS
565,Lebanon,25477,PA
566,Mount Gretna,196,PA
567,Scammon,482,KS
568,Myerstown,3062,PA
569,Palmyra,7320,PA
570,Weir,686,KS
571,Salem,24802,VA
572,Richland,1519,PA
573,Williamsburg,14068,VA
574,Beatrice,12459,NE
575,Fairlawn,2367,VA
576,Hotevilla,-999,AZ
577,McDonald,2149,PA
578,Grand Canyon,-999,AZ
579,Fairview,3806,NJ
580,Gray Mountain,-999,AZ
581,Jacob Lake,-999,AZ
582,Belmar,5794,NJ
583,Ewing,439,VA
584,Bradley Beach,4298,NJ
585,Martinsville,13821,VA
586,Brielle,4774,NJ
587,Larue,-999,AR
588,War Eagle,-999,AR
589,Red Bank,12206,NJ
590,Osage,-999,AR
591,Roosevelt,882,NJ
592,Oakland,-999,AR
593,Rumson,7122,NJ
594,Peel,-999,AR
595,Sea Bright,1412,NJ
596,Sea Girt,1828,NJ
597,Clarkridge,-999,AR
598,Japton,-999,AR
599,Shrewsbury,3809,NJ
600,Witter,-999,AR
601,Wesley,-999,AR
602,Monmouth Beach,3279,NJ
603,Stonewall,-999,AR
604,Oceanport,5832,NJ
605,Newburg,-999,AR
606,Violet Hill,-999,AR
607,Spring Lake,2993,NJ
608,Evansville,-999,AR
609,Spring Lake Heights,4713,NJ
610,Tinton Falls,17892,NJ
611,Spring Valley,-999,AR
612,Union Beach,6245,NJ
613,Summers,-999,AR
614,West Long Branch,8097,NJ
615,North Wales,3229,PA
616,Brentwood,-999,AR
617,Rhea,-999,AR
618,Pennsburg,3843,PA
619,Fox,-999,AR
620,Pottstown,22377,PA
621,Old Lexington,-999,AR
622,Red Hill,2383,PA
623,Timbo,-999,AR
624,Rockledge,2543,PA
625,Parthenon,-999,AR
626,Harriet,-999,AR
627,Royersford,4752,PA
628,Rock Springs,-999,AR
629,Snowball,-999,AR
630,Witts Springs,-999,AR
631,Schwenksville,1385,PA
632,Souderton,6618,PA
633,Trappe,3509,PA
634,West Conshohocken,1320,PA
635,Princeton,12307,NJ
636,Pennington,2585,NJ
637,Tomato,-999,AR
638,Trenton,84913,NJ
639,Desha,-999,AR
640,Alma,1133,NE
641,Oark,-999,AR
642,Camp Hill,7888,PA
643,Lee Creek,-999,AR
644,Carlisle,18682,PA
645,Lemoyne,4553,PA
646,Mechanicsburg,8981,PA
647,Uniontown,-999,AR
648,Mount Holly Springs,2030,PA
649,Newburg,336,PA
650,Moreland,-999,AR
651,Hyndman,910,PA
652,New Cumberland,7277,PA
653,Manns Choice,300,PA
654,Scottsville,-999,AR
655,Newville,1326,PA
656,Shiremanstown,1569,PA
657,New Paris,186,PA
658,Wolf Bayou,-999,AR
659,Wormleysburg,3070,PA
660,Pleasantville,198,PA
661,Deckerville,-999,AR
662,Shippensburg,5492,PA
663,Rainsburg,133,PA
664,Bedford,2841,PA
665,Greenfield,-999,AR
666,Saint Clairsville,78,PA
667,Weona,-999,AR
668,Coaldale,161,PA
669,Saxton,736,PA
670,Everett,1834,PA
671,Whitehall,-999,AR
672,Schellsburg,338,PA
673,Hopewell,230,PA
674,Woodbury,284,PA
675,Adamstown,1789,PA
676,El Paso,-999,AR
677,Chambersburg,20268,PA
678,Steprock,-999,AR
679,Greencastle,3996,PA
680,Mercersburg,1561,PA
681,Floyd,-999,AR
682,Mont Alto,1705,PA
683,Kirkland Junction,-999,AZ
684,Orrstown,262,PA
685,Waynesboro,10568,PA
686,Forest Hills,365,NC
687,Lake Santeetlah,45,NC
688,Callimont,41,PA
689,Cleveland,-999,AR
690,Seven Springs,26,PA
691,Washburn,-999,AR
692,Heath,10310,OH
693,Newark,47573,OH
694,Pataskala,14962,OH
695,Fair Oaks,-999,AR
696,Exton,4842,PA
697,Atglen,1406,PA
698,Tilton,-999,AR
699,Vanndale,-999,AR
700,Avondale,1265,PA
701,Gregory,-999,AR
702,Coatesville,13100,PA
703,Hillemann,-999,AR
704,Howell,-999,AR
705,Downingtown,7891,PA
706,Prairie View,-999,AR
707,Elverson,1225,PA
708,Gravelly,-999,AR
709,Waltreak,-999,AR
710,Briggsville,-999,AR
711,Goleta,29888,CA
712,Parks,-999,AR
713,Honey Brook,1713,PA
714,Mabelvale,-999,AR
715,Kennett Square,6072,PA
716,Marche,-999,AR
717,Parkers,-999,AR
718,Walls,1162,MS
719,Felton,-999,AR
720,Detonti,-999,AR
721,Vimy Ridge,-999,AR
722,Malvern,2998,PA
723,Crystal Springs,-999,AR
724,Modena,535,PA
725,Oxford,5077,PA
726,Potter,-999,AR
727,Parkesburg,3593,PA
728,Helena,-999,AR
729,Oneida,-999,AR
730,Phoenixville,16440,PA
731,South Coatesville,1303,PA
732,Spring City,3323,PA
733,Poplar Grove,-999,AR
734,West Chester,18461,PA
735,Tichnor,-999,AR
736,West Grove,2854,PA
737,Social Hill,-999,AR
738,Cross Roads,512,PA
739,Dallastown,4049,PA
740,Delta,728,PA
741,Dillsburg,2563,PA
742,Christmas,-999,AZ
743,Dover,2007,PA
744,East Prospect,905,PA
745,Fawn Grove,452,PA
746,Felton,506,PA
747,Franklintown,489,PA
748,Glen Rock,2025,PA
749,Goldsboro,952,PA
750,Hallam,2673,PA
751,Hanover,15289,PA
752,Jacobus,1841,PA
753,Jefferson,733,PA
754,Lewisberry,362,PA
755,Loganville,1240,PA
756,Manchester,2763,PA
757,Mount Wolf,1393,PA
758,New Freedom,4464,PA
759,New Salem,724,PA
760,North York,1914,PA
761,Railroad,278,PA
762,Red Lion,6373,PA
763,Seven Valleys,517,PA
764,Shrewsbury,3823,PA
765,Spring Grove,2167,PA
766,Stewartstown,2089,PA
767,Wellsville,242,PA
768,West York,4617,PA
769,Windsor,1319,PA
770,Winterstown,632,PA
771,Wrightsville,2310,PA
772,Yoe,1018,PA
773,York,43718,PA
774,Yorkana,229,PA
775,York Haven,709,PA
776,Beverly,2577,NJ
777,Bordentown,3924,NJ
778,Burlington,9920,NJ
779,Riverton,2779,NJ
780,Palmyra,7398,NJ
781,Pemberton,1409,NJ
782,Wrightstown,802,NJ
783,Beach Haven,1170,NJ
784,Beachwood,11045,NJ
785,Pine Beach,2127,NJ
786,Point Pleasant,18392,NJ
787,Point Pleasant Beach,4665,NJ
788,Seaside Heights,2887,NJ
789,Seaside Park,1579,NJ
790,Ship Bottom,1156,NJ
791,South Toms River,3684,NJ
792,Lakehurst,2654,NJ
793,Lavallette,1875,NJ
794,Ocean Gate,2011,NJ
795,Surf City,1205,NJ
796,Tuckerton,3347,NJ
797,Zanesville,25487,OH
798,Valley-Hi,15,PA
799,McConnellsburg,1220,PA
800,Belle Vernon,1093,PA
801,Faith,-999,AR
802,Jefferson,-999,AR
803,Tamo,-999,AR
804,Umpire,-999,AR
805,Langley,-999,AR
806,Newhope,-999,AR
807,Harcuvar,-999,AZ
808,Provo,-999,AR
809,Cornerville,-999,AR
810,Palmyra,-999,AR
811,Holly Springs,-999,AR
812,Ouachita,-999,AR
813,Pickens,-999,AR
814,Snow Lake,-999,AR
815,Beardsley,-999,AZ
816,Cashion,-999,AZ
817,Chandler Heights,-999,AZ
818,Higley,-999,AZ
819,De Ann,-999,AR
820,Tokio,-999,AR
821,Sheyenne,204,ND
822,Laneburg,-999,AR
823,Cathay,43,ND
824,Collins,-999,AR
825,Sykeston,117,ND
826,Ingalls,-999,AR
827,Sharon,96,ND
828,Cactus Flat,1518,AZ
829,Binford,183,ND
830,Calva,-999,AZ
831,Cooperstown,984,ND
832,Glenbar,-999,AZ
833,Clifford,44,ND
834,Chicot,-999,AR
835,Beulah,3121,ND
836,Dome,-999,AZ
837,Zap,237,ND
838,Hyder,-999,AZ
839,Stanton,366,ND
840,La Palma,-999,AZ
