FID,NAME,POP_2010,STATE
34450,Tyonek,171,AK
34451,A_asco,5075,PR
34452,Sunizona,281,AZ
34453,Homer,5003,AK
34454,Queets,174,WA
34455,Hali'imaile,964,HI
34456,Emmonak,762,AK
34457,Humacao,18629,PR
34458,Salado,2126,TX
34459,Las Ochenta,951,PR
34460,Kachemak,472,AK
34461,Beaulieu,48,MN
34462,Hana,1235,HI
34463,Hooper Bay,1093,AK
34464,La Fermina,2743,PR
34465,Perdido Beach,581,AL
34466,Salinas,4771,PR
34467,Kenai,7100,AK
34468,Espino,1270,PR
34469,Pine Bend,28,MN
34470,Ka'anapali,1045,HI
34471,Corrigan,1595,TX
34472,Kotlik,577,AK
34473,Vieques,1938,PR
34474,Payne Springs,767,TX
34475,V_zquez,1890,PR
34476,Lares,4917,PR
34477,Caney City,217,TX
34478,Palmas,2230,PR
34479,Coffee City,278,TX
34480,Yaurel,1050,PR
34481,Mildred,368,TX
34482,Arroyo,6396,PR
34483,Mustang,21,TX
34484,Buena Vista,1660,PR
34485,Esperanza,1219,PR
34486,Valentine,134,TX
34487,Marshall,414,AK
34488,Roy Lake,12,MN
34489,Kahului,26337,HI
34490,Seldovia,255,AK
34491,Central Aguirre,1301,PR
34492,Mountain Village,813,AK
34493,Ashland,709,ME
34494,Kihei,20881,HI
34496,Chester,312,TX
34497,Seward,2693,AK
34498,Navarro,210,TX
34499,La Parguera,1044,PR
34500,Woodville,2586,TX
34501,Lahaina,11704,HI
34502,San Antonio,7574,PR
34503,Yakutat,662,AK
34504,Coco,5758,PR
34505,Nunam Iqua,187,AK
34506,Eagle Lake,625,ME
34507,Oak Valley,368,TX
34508,Ma'alaea,352,HI
34509,San Jos_,2900,PR
34510,Flat,0,AK
34511,Ivanhoe North,538,TX
34512,Lajas,4586,PR
34513,Millican,240,TX
34514,Malone,269,TX
34515,Toa Baja,1513,PR
34516,Lake Minchumina,13,AK
34518,Pilot Station,568,AK
34519,Mapleton,683,ME
34520,Makawao,7184,HI
34521,Pa'ia,2668,HI
34522,San Sebasti_n,9622,PR
34523,Russian Mission,312,AK
34524,Mars Hill,980,ME
34525,Iola,401,TX
34526,Dorado,13258,PR
34527,Livengood,13,AK
34528,Pastos,1514,PR
34529,Central,26864,LA
34530,Hinsdale,217,MT
34531,Manley Hot Springs,89,AK
34532,Waikapu,2965,HI
34533,Hato Arriba,676,PR
34534,Saint Mary's,507,AK
34535,Washburn,997,ME
34536,Aibonito,8249,PR
34537,Stagecoach,538,TX
34538,Kila,392,MT
34539,Minto,210,AK
34540,Wailuku,15313,HI
34541,Juncal,994,PR
34542,Scammon Bay,474,AK
34543,De Smet,175,ID
34544,Woodloch,207,TX
34545,Little Bitterroot Lake,194,MT
34546,Alatna,37,AK
34547,'Aiea,9338,HI
34548,Cayey,16680,PR
34549,Kasigluk,569,AK
34550,Alder,227,WA
34551,Bee Cave,3925,TX
34552,Marion,886,MT
34553,Arctic Village,152,AK
34554,Hale'iwa,3970,HI
34556,Kipnuk,639,AK
34557,Briarcliff,1438,TX
34558,Olney,191,MT
34559,Beaver,84,AK
34560,Clear Lake,1419,WA
34561,Mucarabones,1561,PR
34562,Kongiganak,439,AK
34563,Hau'ula,4148,HI
34564,Point Venture,800,TX
34565,West Glacier,227,MT
34566,Central,96,AK
34567,Home,1377,WA
34568,P_jaros,10122,PR
34569,Kwigillingok,321,AK
34570,Kahalu'u,4738,HI
34571,Kapowsin,333,WA
34572,San Leanna,497,TX
34573,Whitewater,64,MT
34574,Chalkyitsik,69,AK
34575,Toa Alta,3713,PR
34576,Lime Village,29,AK
34577,Kailua,38635,HI
34578,Key Center,3692,WA
34579,The Hills,2472,TX
34580,Zortman,69,MT
34581,Circle,104,AK
34582,Galateo,2585,PR
34583,Newtok,354,AK
34584,Happys Inn,164,MT
34585,Kane'ohe,34597,HI
34586,La Grande,109,WA
34587,Coldfoot,10,AK
34588,Volente,520,TX
34590,Akiachak,627,AK
34591,Tanana,246,AK
34592,Webberville,392,TX
34593,Pioneer Junction,959,MT
34594,La'ie,6138,HI
34595,Longbranch,3784,WA
34596,Quebradillas,5282,PR
34597,Stryker,26,MT
34598,Ma'ili,9488,HI
34599,McKenna,716,WA
34600,Atmautluak,277,AK
34601,Rampart,24,AK
34602,Bear Creek,382,TX
34603,Cacao,1001,PR
34604,McMillin,1547,WA
34605,Crooked Creek,105,AK
34606,Stevens Village,78,AK
34607,Pine Island,988,TX
34608,Sylvanite,103,MT
34609,Makaha,8278,HI
34610,Pajonal,742,PR
34611,Trego,541,MT
34612,Mililani,27629,HI
34613,Purdy,1544,WA
34614,Toksook Bay,590,AK
34615,Takotna,52,AK
34616,San Felipe,747,TX
34617,Florida,4711,PR
34618,Upper Kalskag,210,AK
34619,Venetie,166,AK
34620,Thompsons,246,TX
34621,White Haven,577,MT
34622,Nanakuli,12666,HI
34623,Rosedale,4044,WA
34624,Naranjito,1655,PR
34625,Oscarville,70,AK
34626,Pearl City,47698,HI
34627,South Creek,2507,WA
34628,Yaak,248,MT
34629,Wiseman,14,AK
34630,Fairchilds,763,TX
34631,Tiburones,1616,PR
34632,Red Devil,23,AK
34633,Punalu'u,1164,HI
34634,Vaughn,544,WA
34635,Babb,174,MT
34636,Allakaket,105,AK
34637,Pleak,1044,TX
34638,Barceloneta,3785,PR
34639,Sleetmute,86,AK
34640,Wauna,4186,WA
34641,Santa Rita,113,MT
34642,Pupukea,4551,HI
34643,Anvik,85,AK
34644,Weston Lakes,2482,TX
34645,B_falo,949,PR
34646,Stony River,54,AK
34647,Wahiawa,17821,HI
34648,Wollochet,6651,WA
34649,Turner,61,MT
34650,Bettles,12,AK
34651,China Grove,1179,TX
34652,Garrochales,1086,PR
34653,Tuluksak,373,AK
34654,Spiritwood,18,ND
34655,Disautel,78,WA
34656,Waialua,3860,HI
34657,Fort Yukon,583,AK
34658,Von Ormy,1085,TX
34659,Imb_ry,3899,PR
34660,Tuntutuliak,408,AK
34661,Wai'anae,13177,HI
34662,Galena,470,AK
34663,Ypsilanti,104,ND
34664,Keller,234,WA
34665,Moulton,886,TX
34666,San Juan,381931,PR
34667,Tununak,327,AK
34668,Twin Lakes,59,WA
34669,Brooktree Park,80,ND
34670,Waimanalo,5451,HI
34671,Grayling,194,AK
34672,Bailey's Prairie,727,TX
34673,Trujillo Alto,48437,PR
34674,Akiak,346,AK
34675,Waipahu,38216,HI
34676,Larson,12,ND
34677,Embden,59,ND
34678,Holy Cross,178,AK
34679,Bonney,310,TX
34680,Olimpo,2064,PR
34681,Aniak,501,AK
34682,Nikolski,18,AK
34683,Sweet Grass,58,MT
34684,Hughes,77,AK
34685,Baker,55,MN
34686,Hillcrest,730,TX
34688,Bethel,6080,AK
34689,Huslia,275,AK
34690,Princeton,148,ID
34691,Unalaska,4376,AK
34692,Blanchard,261,ID
34693,Iowa Colony,1170,TX
34694,Chefornak,418,AK
34695,Guayama,22691,PR
34696,Adak,326,AK
34697,Foxholm,75,ND
34698,Kaltag,190,AK
34699,Buena,990,WA
34700,Chuathbaluk,118,AK
34701,Jobos,2479,PR
34702,Jones Creek,2020,TX
34703,Koyukuk,96,AK
34704,Cliffdell,104,WA
34705,Atka,61,AK
34706,Logan,194,ND
34707,Eek,296,AK
34708,McGrath,346,AK
34709,Cowiche,428,WA
34710,Saint George,102,AK
34711,Ruthville,191,ND
34712,Palomas,1936,PR
34713,Christine,390,TX
34714,Goodnews Bay,243,AK
34715,Yauco,17186,PR
34716,Woodsboro,1512,TX
34717,Nenana,378,AK
34718,Donald,91,WA
34719,Saint Paul,479,AK
34720,Mahnomen,239,MN
34721,Kwethluk,721,AK
34722,Nile,140,WA
34723,Akutan,1027,AK
34724,Barton,20,ND
34725,Los Llanos,2118,PR
34726,Combes,2895,TX
34727,Nikolai,94,AK
34728,Lower Kalskag,282,AK
34729,Outlook,292,WA
34731,Santa Rosa,2873,TX
34732,Nulato,264,AK
34733,Mekoryuk,191,AK
34734,Cold Bay,108,AK
34735,Orrin,22,ND
34736,Parker,154,WA
34737,False Pass,35,AK
34738,Napakiak,354,AK
34739,Palmarejo,1090,PR
34740,South Padre Island,2816,TX
34741,Ruby,166,AK
34742,Selz,46,ND
34743,Tampico,312,WA
34744,Rangerville,289,TX
34745,Shageluk,83,AK
34746,Auburn,48,ND
34747,King Cove,938,AK
34748,Napaskiak,405,AK
34749,Coamo,11522,PR
34750,Martinsdale,64,MT
34751,Nash,32,ND
34752,Sand Point,976,AK
34753,Nightmute,280,AK
34754,Villalba,3384,PR
34755,Colorado City,4821,AZ
34756,Ester,2422,AK
34757,Harmon,145,ND
34758,Rosebud,111,MT
34759,Brady,140,MT
34760,Ketchikan,8050,AK
34761,Nunapitchuk,496,AK
34762,Ciales,2591,PR
34763,Antares,126,AZ
34764,Fox,417,AK
34765,Saxman,411,AK
34766,College,12964,AK
34767,Ponce,132502,PR
34768,Beaver Dam,1962,AZ
34769,Platinum,61,AK
34770,Maxville,130,MT
34771,Dupuyer,86,MT
34772,Shawmut,42,MT
34773,Cane Beds,448,AZ
34774,Quinhagak,669,AK
34775,King Salmon,374,AK
34776,Fairbanks,31535,AK
34777,Coto Laurel,3047,PR
34778,Bryant,1870,WA
34779,Clearview,3324,WA
34780,Heil,15,ND
34781,Centennial Park,1264,AZ
34782,Mertarvik,0,AK
34783,Naknek,544,AK
34784,North Pole,2117,AK
34785,Orocovis,722,PR
34786,Meadowdale,2826,WA
34787,Raleigh,12,ND
34788,Chloride,271,AZ
34789,Hormigueros,12443,PR
34790,Deltana,2251,AK
34791,Butte,3246,AK
34792,South Naknek,79,AK
34793,Koliganek,209,AK
34794,Dot Lake,13,AK
34795,Chase,34,AK
34796,Crozier,14,AZ
34797,Mora,1583,PR
34798,Belknap,158,MT
34799,Elk City,202,ID
34800,Togiak,817,AK
34801,Chickaloon,272,AK
34802,Eagle Village,67,AK
34803,Camas,58,MT
34804,Charlos Heights,120,MT
34805,Isabela,11255,PR
34806,Golden Shores,2047,AZ
34807,Aleknagik,219,AK
34808,Wasilla,7831,AK
34809,Big Delta,591,AK
34810,Conner,216,MT
34811,Santa Clara,982,PR
34812,Hackberry,68,AZ
34813,Weeksville,83,MT
34814,Clark's Point,62,AK
34815,Petersville,4,AK
34816,Chicken,7,AK
34817,Katherine,103,AZ
34818,Sula,37,MT
34819,Aguas Buenas,4204,PR
34820,Dahlen,18,ND
34821,Dillingham,2329,AK
34822,Skwentna,37,AK
34823,Northway,71,AK
34824,Littlefield,308,AZ
34825,Sweetwater,143,ID
34826,Barranquitas,2695,PR
34827,Crane,102,MT
34828,McConnico,70,AZ
34829,Englevale,40,ND
34830,Maricao,868,PR
34831,East Fairview,76,ND
34832,Ekwok,115,AK
34833,Susitna,18,AK
34834,Tanacross,136,AK
34835,McLeod,27,ND
34836,Bynum,31,MT
34837,Manokotak,442,AK
34838,Talkeetna,876,AK
34839,Martorell,2232,PR
34840,Meadview,1224,AZ
34841,Tetlin,127,AK
34842,Elkhorn,10,MT
34843,Bear Dance,275,MT
34844,New Stuyahok,510,AK
34845,Trapper Creek,481,AK
34846,Playita,1558,PR
34847,Moccasin,89,AZ
34848,Tok,1258,AK
34849,Swan Lake,113,MT
34850,South Hills,517,MT
34851,Igiugig,50,AK
34852,Willow,2102,AK
34853,Oatman,135,AZ
34854,Rosa S_nchez,1055,PR
34855,Delta Junction,958,AK
34856,Houston,1912,AK
34857,Four Lakes,512,WA
34858,Porcupine,146,ND
34859,Topock,10,AZ
34860,Yabucoa,6047,PR
34861,Iliamna,109,AK
34862,Eagle,86,AK
34863,Truxton,134,AZ
34864,Comunas,1900,PR
34865,Ivanof Bay,7,AK
34866,Palmer,5937,AK
34867,Green Bluff,761,WA
34868,Altoona,39,WA
34869,Wainwright,556,AK
34870,Kokhanok,170,AK
34871,Eureka Roadhouse,29,AK
34872,Mead,7275,WA
34873,Deep River,204,WA
34874,Valentine,38,AZ
34875,El Negro,1075,PR
34876,Point Lay,189,AK
34877,Grays River,263,WA
34878,White Hills,323,AZ
34879,Levittown,26960,PR
34880,Levelock,69,AK
34881,Healy,1021,AK
34882,Prudhoe Bay,2174,AK
34883,Ebro,64,MN
34884,Rosburg,317,WA
34885,Wikieup,133,AZ
34886,Conkling Park,43,ID
34887,Anaktuvuk Pass,324,AK
34888,Sabana Seca,9705,PR
34889,Chignik Lagoon,78,AK
34890,McKinley Park,185,AK
34891,De Lamere,30,ND
34892,Yucca,126,AZ
34893,Campanilla,6868,PR
34894,Pedro Bay,42,AK
34895,Cantwell,219,AK
34896,Rockford Bay,184,ID
34897,Atqasuk,233,AK
34898,Captain Cook,3429,HI
34899,Gallatin Gateway,856,MT
34900,Craig,43,MT
