FID,NAME,POP_2010,STATE
6966,Dike,1209,IA
6967,Dakota City,1919,NE
6968,Crystal Lake,40743,IL
6969,Harvard,9447,IL
6970,Belvidere,25585,IL
6971,Venetian Village,2826,IL
6972,Highland Park,29763,IL
6973,Highwood,5405,IL
6974,Alliance,8491,NE
6975,Chelsea,4944,MI
6976,Vandercook Lake,4721,MI
6977,Westwood,8653,MI
6978,Andrew,434,IA
6979,Baldwin,109,IA
6980,Bellevue,2191,IA
6981,Atkins,1670,IA
6982,Blairstown,692,IA
6983,Coggon,658,IA
6984,Center Point,2421,IA
6985,Central City,1257,IA
6986,Alburnett,673,IA
6987,Bertram,294,IA
6988,Hiawatha,7024,IA
6989,Clutier,213,IA
6990,Chelsea,267,IA
6991,Center Junction,111,IA
6992,Anamosa,5533,IA
6993,Castana,147,IA
6994,Blencoe,224,IA
6995,Clemons,148,IA
6996,Albion,505,IA
6997,Haverhill,173,IA
6998,Coon Rapids,1305,IA
6999,Arcadia,484,IA
7000,Halbur,246,IA
7001,Jersey City,247597,NJ
7002,Kearny,40684,NJ
7003,Croton,-999,IA
7004,Mount Hamill,-999,IA
7005,Clinton,2719,NJ
7006,Flemington,4581,NJ
7007,Frenchtown,1373,NJ
7008,Glen Gardner,1704,NJ
7009,Hampton,1401,NJ
7010,High Bridge,3648,NJ
7011,Manville,10344,NJ
7012,Far Hills,919,NJ
7013,Mountainside,6685,NJ
7014,Elizabeth,124969,NJ
7015,Fanwood,7318,NJ
7016,Garwood,4226,NJ
7017,Batesburg-Leesville,5362,SC
7018,Kenilworth,7914,NJ
7019,Alleene,-999,AR
7020,Clay Center,760,NE
7021,Arkinda,-999,AR
7022,Sutton,1502,NE
7023,Buena Vista,-999,AR
7024,North Olmsted,32718,OH
7025,Mifflin,642,PA
7026,Boydell,-999,AR
7027,North Randall,1027,OH
7028,Mifflintown,936,PA
7029,McLendon-Chisholm,1373,TX
7030,North Royalton,30444,OH
7031,Port Royal,925,PA
7032,Bruceville-Eddy,1475,TX
7033,Oakwood,3667,OH
7034,Thompsontown,697,PA
7035,Little River-Academy,1961,TX
7036,Olmsted Falls,9024,OH
7037,Adamsburg,172,PA
7038,Village of Tiki Island,968,TX
7039,Orange,3323,OH
7040,Arnold,5157,PA
7041,Solon Springs,600,WI
7042,Parma,81601,OH
7043,Arona,370,PA
7044,Lake Nebagamon,1069,WI
7045,Parma Heights,20718,OH
7046,Avonmore,1011,PA
7047,Oliver,399,WI
7048,Poplar,603,WI
7049,Pepper Pike,5979,OH
7050,Bolivar,465,PA
7051,Washburn,2117,WI
7052,Richmond Heights,10546,OH
7053,Delmont,2686,PA
7054,Bayfield,487,WI
7055,Rocky River,20213,OH
7056,Laurel Mountain,167,PA
7057,Mason,93,WI
7058,New Morgan,71,PA
7059,Seven Hills,11804,OH
7060,Ashland,8216,WI
7061,Monroeville,28386,PA
7062,Shaker Heights,28448,OH
7063,Butternut,375,WI
7064,Plum,27126,PA
7065,Solon,23348,OH
7066,Mellen,731,WI
7067,Metuchen,13574,NJ
7068,South Euclid,22295,OH
7069,Houghton,7708,MI
7070,Dunellen,7227,NJ
7071,Strongsville,44750,OH
7072,Hancock,4634,MI
7073,Helmetta,2178,NJ
7074,University Heights,13539,OH
7075,Negaunee,4568,MI
7076,Highland Park,13982,NJ
7077,Valley View,2034,OH
7078,Ishpeming,6470,MI
7079,Jamesburg,5915,NJ
7080,Walton Hills,2281,OH
7081,Marquette,21355,MI
7082,Allenport,537,PA
7083,Warrensville Heights,13542,OH
7084,Munising,2355,MI
7085,Escanaba,12616,MI
7086,Beallsville,466,PA
7087,Westlake,32729,OH
7088,Bentleyville,2581,PA
7089,Woodmere,884,OH
7090,Gladstone,4973,MI
7091,Wausaukee,575,WI
7092,Burgettstown,1388,PA
7093,Barkeyville,207,PA
7094,Coleman,724,WI
7095,California,6795,PA
7096,Clintonville,508,PA
7097,Crivitz,984,WI
7098,Canonsburg,8992,PA
7099,Cooperstown,460,PA
7100,Marinette,10968,WI
7101,Franklin,6545,PA
7102,Centerville,3263,PA
7103,Niagara,1624,WI
7104,Oil City,10557,PA
7105,Charleroi,4120,PA
7106,Peshtigo,3502,WI
7107,Pleasantville,892,PA
7108,Claysville,829,PA
7109,Pound,377,WI
7110,Polk,816,PA
7111,Coal Center,139,PA
7112,Sister Bay,876,WI
7113,Rouseville,523,PA
7114,Cokeburg,630,PA
7115,Sturgeon Bay,9144,WI
7116,Sugarcreek,5294,PA
7117,Deemston,722,PA
7118,Egg Harbor,201,WI
7119,Utica,189,PA
7120,Donora,4781,PA
7121,Forestville,430,WI
7122,Kelleys Island,312,OH
7123,Dunlevy,381,PA
7124,Sandusky,25793,OH
7125,Sault Sainte Marie,14144,MI
7126,East Washington,2234,PA
7127,Duxbury,1802,MA
7128,Milford,1021,PA
7129,Mackinac Island,492,MI
7130,Elco,323,PA
7131,Dushore,608,PA
7132,Saint Ignace,2452,MI
7133,Ellsworth,1027,PA
7134,Hatboro,7360,PA
7135,Hanson,2118,MA
7136,Eagles Mere,120,PA
7137,Petoskey,5670,MI
7138,Finleyville,461,PA
7139,Hatfield,3290,PA
7140,West Wareham,2064,MA
7141,Jenkintown,4422,PA
7142,Forksville,145,PA
7143,Harbor Springs,1194,MI
7144,Green Hills,29,PA
7145,Laporte,316,PA
7146,Boyne City,3735,MI
7147,Houston,1296,PA
7148,Rubio,-999,IA
7149,Charlevoix,2513,MI
7150,Long Branch,447,PA
